"ROW_I","attribute_1","attribute_2","attribute_3","attribute_4","attribute_5","attribute_6","attribute_7","attribute_8","attribute_9","attribute_10","attribute_11","attribute_12","attribute_13","attribute_14","attribute_15","attribute_16","attribute_17","attribute_18","attribute_19","attribute_20","attribute_21","attribute_22","attribute_23","attribute_24","attribute_25","attribute_26","attribute_27","attribute_28","attribute_29","attribute_30","attribute_31","attribute_32","attribute_33","attribute_34","attribute_35","attribute_36","attribute_37","attribute_38","attribute_39","attribute_40","attribute_41","attribute_42","attribute_43","attribute_44","attribute_45","attribute_46","attribute_47","attribute_48","attribute_49","attribute_50","attribute_51","attribute_52","attribute_53","attribute_54","attribute_55","attribute_56","attribute_57","attribute_58","attribute_59","attribute_60","Target_Col"
78,0.03360,0.02940,0.04760,0.05390,0.07940,0.08040,0.11360,0.12280,0.12350,0.08420,0.03570,0.06890,0.17050,0.32570,0.46020,0.62250,0.73270,0.78430,0.79880,0.82610,1.00000,0.98140,0.96200,0.96010,0.91180,0.90860,0.79310,0.58770,0.34740,0.42350,0.46330,0.34100,0.28490,0.28470,0.17420,0.05490,0.11920,0.11540,0.08550,0.18110,0.12640,0.07990,0.03780,0.12680,0.11250,0.05050,0.09490,0.06770,0.02590,0.01700,0.00330,0.01500,0.01110,0.00320,0.00350,0.01690,0.01370,0.00150,0.00690,0.00510,Rock
118,0.02280,0.01060,0.01300,0.08420,0.11170,0.15060,0.17760,0.09970,0.14280,0.22270,0.26210,0.31090,0.28590,0.33160,0.37550,0.44990,0.47650,0.62540,0.73040,0.87020,0.93490,0.96140,0.91260,0.94430,1.00000,0.94550,0.88150,0.75200,0.70680,0.59860,0.38570,0.25100,0.21620,0.09680,0.13230,0.13440,0.22500,0.32440,0.39390,0.38060,0.32580,0.36540,0.29830,0.17790,0.15350,0.11990,0.09590,0.07650,0.06490,0.03130,0.01850,0.00980,0.01780,0.00770,0.00740,0.00950,0.00550,0.00450,0.00630,0.00390,Mine
169,0.00150,0.01860,0.02890,0.01950,0.05150,0.08170,0.10050,0.01240,0.11680,0.14760,0.21180,0.25750,0.23540,0.13340,0.00920,0.19510,0.36850,0.46460,0.54180,0.62600,0.74200,0.82570,0.86090,0.84000,0.89490,0.99450,1.00000,0.96490,0.87470,0.62570,0.21840,0.29450,0.36450,0.50120,0.78430,0.93610,0.81950,0.62070,0.45130,0.30040,0.26740,0.22410,0.31410,0.36930,0.29860,0.22260,0.08490,0.03590,0.02890,0.01220,0.00450,0.01080,0.00750,0.00890,0.00360,0.00290,0.00130,0.00100,0.00320,0.00470,Mine
123,0.02490,0.01190,0.02770,0.07600,0.12180,0.15380,0.11920,0.12290,0.21190,0.25310,0.28550,0.29610,0.33410,0.42870,0.52050,0.60870,0.72360,0.75770,0.77260,0.80980,0.89950,0.92470,0.93650,0.98530,0.97760,1.00000,0.98960,0.90760,0.73060,0.57580,0.44690,0.37190,0.20790,0.09550,0.04880,0.14060,0.25540,0.20540,0.16140,0.22320,0.17730,0.22930,0.25210,0.14640,0.06730,0.09650,0.14920,0.11280,0.04630,0.01930,0.01400,0.00270,0.00680,0.01500,0.00120,0.01330,0.00480,0.02440,0.00770,0.00740,Mine
77,0.02390,0.01890,0.04660,0.04400,0.06570,0.07420,0.13800,0.10990,0.13840,0.13760,0.09380,0.02590,0.14990,0.28510,0.57430,0.82780,0.86690,0.81310,0.90450,0.90460,1.00000,0.99760,0.98720,0.97610,0.90090,0.97240,0.96750,0.76330,0.44340,0.38220,0.47270,0.40070,0.33810,0.31720,0.22220,0.07330,0.26920,0.18880,0.07120,0.10620,0.06940,0.03000,0.08930,0.14590,0.13480,0.03910,0.05460,0.04690,0.02010,0.00950,0.01550,0.00910,0.01510,0.00800,0.00180,0.00780,0.00450,0.00260,0.00360,0.00240,Rock
13,0.00790,0.00860,0.00550,0.02500,0.03440,0.05460,0.05280,0.09580,0.10090,0.12400,0.10970,0.12150,0.18740,0.33830,0.32270,0.27230,0.39430,0.64320,0.72710,0.86730,0.96740,0.98470,0.94800,0.80360,0.68330,0.51360,0.30900,0.08320,0.40190,0.23440,0.19050,0.12350,0.17170,0.23510,0.24890,0.36490,0.33820,0.15890,0.09890,0.10890,0.10430,0.08390,0.13910,0.08190,0.06780,0.06630,0.12020,0.06920,0.01520,0.02660,0.01740,0.01760,0.01270,0.00880,0.00980,0.00190,0.00590,0.00580,0.00590,0.00320,Rock
186,0.03400,0.06250,0.03810,0.02570,0.04410,0.10270,0.12870,0.18500,0.26470,0.41170,0.52450,0.53410,0.55540,0.39150,0.29500,0.30750,0.30210,0.27190,0.54430,0.79320,0.87510,0.86670,0.71070,0.69110,0.72870,0.87920,1.00000,0.98160,0.89840,0.60480,0.49340,0.53710,0.45860,0.29080,0.07740,0.22490,0.16020,0.39580,0.61170,0.51960,0.23210,0.43700,0.37970,0.43220,0.48920,0.19010,0.09400,0.13640,0.09060,0.01440,0.03290,0.01410,0.00190,0.00670,0.00990,0.00420,0.00570,0.00510,0.00330,0.00580,Mine
3,0.02620,0.05820,0.10990,0.10830,0.09740,0.22800,0.24310,0.37710,0.55980,0.61940,0.63330,0.70600,0.55440,0.53200,0.64790,0.69310,0.67590,0.75510,0.89290,0.86190,0.79740,0.67370,0.42930,0.36480,0.53310,0.24130,0.50700,0.85330,0.60360,0.85140,0.85120,0.50450,0.18620,0.27090,0.42320,0.30430,0.61160,0.67560,0.53750,0.47190,0.46470,0.25870,0.21290,0.22220,0.21110,0.01760,0.13480,0.07440,0.01300,0.01060,0.00330,0.02320,0.01660,0.00950,0.01800,0.02440,0.03160,0.01640,0.00950,0.00780,Rock
93,0.02600,0.01920,0.02540,0.00610,0.03520,0.07010,0.12630,0.10800,0.15230,0.16300,0.10300,0.21870,0.15420,0.26300,0.29400,0.29780,0.06990,0.14010,0.29900,0.39150,0.35980,0.24030,0.42080,0.56750,0.60940,0.63230,0.65490,0.76730,1.00000,0.84630,0.55090,0.44440,0.51690,0.42680,0.18020,0.07910,0.05350,0.19060,0.25610,0.21530,0.27690,0.28410,0.17330,0.08150,0.03350,0.09330,0.10180,0.03090,0.02080,0.03180,0.01320,0.01180,0.01200,0.00510,0.00700,0.00150,0.00350,0.00080,0.00440,0.00770,Rock
133,0.09680,0.08210,0.06290,0.06080,0.06170,0.12070,0.09440,0.42230,0.57440,0.50250,0.34880,0.17000,0.20760,0.30870,0.42240,0.53120,0.24360,0.18840,0.19080,0.83210,1.00000,0.40760,0.09600,0.19280,0.24190,0.37900,0.28930,0.34510,0.37770,0.52130,0.23160,0.33350,0.47810,0.61160,0.67050,0.73750,0.73560,0.77920,0.67880,0.52590,0.27620,0.15450,0.20190,0.22310,0.42210,0.30670,0.13290,0.13490,0.10570,0.04990,0.02060,0.00730,0.00810,0.03030,0.01900,0.02120,0.01260,0.02010,0.02100,0.00410,Mine
45,0.02570,0.04470,0.03880,0.02390,0.13150,0.13230,0.16080,0.21450,0.08470,0.05610,0.08910,0.08610,0.15310,0.15240,0.18490,0.28710,0.20090,0.27480,0.50170,0.21720,0.49780,0.52650,0.36470,0.57680,0.51610,0.57150,0.40060,0.36500,0.66850,0.86590,0.80520,0.40820,0.33790,0.50920,0.67760,0.73130,0.60620,0.70400,0.88490,0.89790,0.77510,0.72470,0.77330,0.77620,0.60090,0.45140,0.30960,0.18590,0.09560,0.02060,0.02060,0.00960,0.01530,0.00960,0.01310,0.01980,0.00250,0.01990,0.02550,0.01800,Rock
68,0.03680,0.04030,0.03170,0.02930,0.08200,0.13420,0.11610,0.06630,0.01550,0.05060,0.09060,0.25450,0.14640,0.12720,0.12230,0.16690,0.14240,0.12850,0.18570,0.11360,0.20690,0.02190,0.24000,0.25470,0.02400,0.19230,0.47530,0.70030,0.68250,0.64430,0.70630,0.53730,0.66010,0.87080,0.95180,0.96050,0.77120,0.67720,0.64310,0.67200,0.60350,0.51550,0.38020,0.22780,0.15220,0.08010,0.08040,0.07520,0.05660,0.01750,0.00580,0.00910,0.01600,0.01600,0.00810,0.00700,0.01350,0.00670,0.00780,0.00680,Rock
15,0.01240,0.04330,0.06040,0.04490,0.05970,0.03550,0.05310,0.03430,0.10520,0.21200,0.16400,0.19010,0.30260,0.20190,0.05920,0.23900,0.36570,0.38090,0.59290,0.62990,0.58010,0.45740,0.44490,0.36910,0.64460,0.89400,0.89780,0.49800,0.33330,0.23500,0.15530,0.36660,0.43400,0.30820,0.30240,0.41090,0.55010,0.41290,0.54990,0.50180,0.31320,0.28020,0.23510,0.22980,0.11550,0.07240,0.06210,0.03180,0.04500,0.01670,0.00780,0.00830,0.00570,0.01740,0.01880,0.00540,0.01140,0.01960,0.01470,0.00620,Rock
110,0.02640,0.00710,0.03420,0.07930,0.10430,0.07830,0.14170,0.11760,0.04530,0.09450,0.11320,0.08400,0.07170,0.19680,0.26330,0.41910,0.50500,0.67110,0.79220,0.83810,0.87590,0.94220,1.00000,0.99310,0.95750,0.86470,0.72150,0.58010,0.49640,0.48860,0.40790,0.24430,0.17680,0.24720,0.35180,0.37620,0.29090,0.23110,0.31680,0.35540,0.37410,0.44430,0.32610,0.19630,0.08640,0.16880,0.19910,0.12170,0.06280,0.03230,0.02530,0.02140,0.02620,0.01770,0.00370,0.00680,0.01210,0.00770,0.00780,0.00660,Mine
152,0.02310,0.03150,0.01700,0.02260,0.04100,0.01160,0.02230,0.08050,0.23650,0.24610,0.22450,0.15200,0.17320,0.30990,0.43800,0.55950,0.68200,0.61640,0.68030,0.84350,0.99210,1.00000,0.79830,0.54260,0.39520,0.51790,0.56500,0.30420,0.18810,0.39600,0.22860,0.35440,0.41870,0.23980,0.18470,0.37600,0.43310,0.36260,0.25190,0.18700,0.10460,0.23390,0.19910,0.11000,0.06840,0.03030,0.06740,0.07850,0.04550,0.02460,0.01510,0.01250,0.00360,0.01230,0.00430,0.01140,0.00520,0.00910,0.00080,0.00920,Mine
144,0.05160,0.09440,0.06220,0.04150,0.09950,0.24310,0.17770,0.20180,0.26110,0.12940,0.26460,0.27780,0.44320,0.36720,0.20350,0.27640,0.32520,0.15360,0.27840,0.35080,0.51870,0.70520,0.71430,0.68140,0.51000,0.53080,0.61310,0.83880,0.90310,0.86070,0.96560,0.91680,0.71320,0.68980,0.73100,0.41340,0.15800,0.18190,0.13810,0.29600,0.69350,0.82460,0.53510,0.44030,0.64480,0.62140,0.30160,0.13790,0.03640,0.03550,0.04560,0.04320,0.02740,0.01520,0.01200,0.01290,0.00200,0.01090,0.00740,0.00780,Mine
81,0.02290,0.03690,0.00400,0.03750,0.04550,0.14520,0.22110,0.11880,0.07500,0.16310,0.27090,0.33580,0.40910,0.44000,0.54850,0.72130,0.81370,0.91850,1.00000,0.94180,0.91160,0.93490,0.74840,0.51460,0.41060,0.34430,0.69810,0.87130,0.90130,0.80140,0.43800,0.13190,0.17090,0.24840,0.30440,0.23120,0.13380,0.20560,0.24740,0.27900,0.16100,0.00560,0.03510,0.11480,0.13310,0.02760,0.07630,0.06310,0.03090,0.02400,0.01150,0.00640,0.00220,0.01220,0.01510,0.00560,0.00260,0.00290,0.01040,0.01630,Rock
99,0.13130,0.23390,0.30590,0.42640,0.40100,0.17910,0.18530,0.00550,0.19290,0.22310,0.29070,0.22590,0.31360,0.33020,0.36600,0.39560,0.43860,0.46700,0.52550,0.37350,0.22430,0.19730,0.43370,0.65320,0.50700,0.27960,0.41630,0.59500,0.52420,0.41780,0.37140,0.23750,0.08630,0.14370,0.28960,0.45770,0.37250,0.33720,0.38030,0.41810,0.36030,0.27110,0.16530,0.19510,0.28110,0.22460,0.19210,0.15000,0.06650,0.01930,0.01560,0.03620,0.02100,0.01540,0.01800,0.00130,0.01060,0.01270,0.01780,0.02310,Mine
97,0.01810,0.01460,0.00260,0.01410,0.04210,0.04730,0.03610,0.07410,0.13980,0.10450,0.09040,0.06710,0.09970,0.10560,0.03460,0.12310,0.16260,0.36520,0.32620,0.29950,0.21090,0.21040,0.20850,0.22820,0.07470,0.19690,0.40860,0.63850,0.79700,0.75080,0.55170,0.22140,0.46720,0.44790,0.22970,0.32350,0.44800,0.55810,0.65200,0.53540,0.24780,0.22680,0.17880,0.08980,0.05360,0.03740,0.09900,0.09560,0.03170,0.01420,0.00760,0.02230,0.02550,0.01450,0.02330,0.00410,0.00180,0.00480,0.00890,0.00850,Rock
39,0.01230,0.00220,0.01960,0.02060,0.01800,0.04920,0.00330,0.03980,0.07910,0.04750,0.11520,0.05200,0.11920,0.19430,0.18400,0.20770,0.19560,0.16300,0.12180,0.10170,0.13540,0.31570,0.46450,0.59060,0.67760,0.81190,0.85940,0.92280,0.83870,0.72380,0.62920,0.51810,0.46290,0.52550,0.51470,0.39290,0.12790,0.04110,0.08590,0.11310,0.13060,0.17570,0.26480,0.19550,0.06560,0.05800,0.03190,0.03010,0.02720,0.00740,0.01490,0.01250,0.01340,0.00260,0.00380,0.00180,0.01130,0.00580,0.00470,0.00710,Rock
137,0.10880,0.12780,0.09260,0.12340,0.12760,0.17310,0.19480,0.42620,0.68280,0.57610,0.47330,0.23620,0.10230,0.29040,0.47130,0.46590,0.14150,0.08490,0.32570,0.90070,0.93120,0.48560,0.13460,0.16040,0.27370,0.56090,0.36540,0.61390,0.54700,0.84740,0.56380,0.54430,0.50860,0.62530,0.84970,0.84060,0.84200,0.91360,0.77130,0.48820,0.37240,0.44690,0.45860,0.44910,0.56160,0.43050,0.09450,0.07940,0.02740,0.01540,0.01400,0.04550,0.02130,0.00820,0.01240,0.01670,0.01030,0.02050,0.01780,0.01870,Mine
181,0.03100,0.02210,0.04330,0.01910,0.09640,0.18270,0.11060,0.17020,0.28040,0.44320,0.52220,0.56110,0.53790,0.40480,0.22450,0.17840,0.22970,0.27200,0.52090,0.68980,0.82020,0.87800,0.76000,0.76160,0.71520,0.72880,0.86860,0.95090,0.83480,0.57300,0.43630,0.42890,0.42400,0.31560,0.12870,0.14770,0.20620,0.24000,0.51730,0.51680,0.14910,0.24070,0.34150,0.44940,0.46240,0.20010,0.07750,0.12320,0.07830,0.00890,0.02490,0.02040,0.00590,0.00530,0.00790,0.00370,0.00150,0.00560,0.00670,0.00540,Mine
198,0.03660,0.04210,0.05040,0.02500,0.05960,0.02520,0.09580,0.09910,0.14190,0.18470,0.22220,0.26480,0.25080,0.22910,0.15550,0.18630,0.23870,0.33450,0.52330,0.66840,0.77660,0.79280,0.79400,0.91290,0.94980,0.98350,1.00000,0.94710,0.82370,0.62520,0.41810,0.32090,0.26580,0.21960,0.15880,0.05610,0.09480,0.17000,0.12150,0.12820,0.03860,0.13290,0.23310,0.24680,0.19600,0.19850,0.15700,0.09210,0.05490,0.01940,0.01660,0.01320,0.00270,0.00220,0.00590,0.00160,0.00250,0.00170,0.00270,0.00270,Mine
173,0.01800,0.04440,0.04760,0.06980,0.16150,0.08870,0.05960,0.10710,0.31750,0.29180,0.32730,0.30350,0.30330,0.25870,0.16820,0.13080,0.28030,0.45190,0.66410,0.76830,0.69600,0.43930,0.24320,0.28860,0.49740,0.81720,1.00000,0.92380,0.85190,0.77220,0.57720,0.51900,0.68240,0.62200,0.50540,0.35780,0.38090,0.38130,0.33590,0.27710,0.36480,0.38340,0.34530,0.20960,0.10310,0.07980,0.07010,0.05260,0.02410,0.01170,0.01220,0.01220,0.01140,0.00980,0.00270,0.00250,0.00260,0.00500,0.00730,0.00220,Mine
87,0.01880,0.03700,0.09530,0.08240,0.02490,0.04880,0.14240,0.19720,0.18730,0.18060,0.21390,0.15230,0.19750,0.48440,0.72980,0.78070,0.79060,0.61220,0.42000,0.28070,0.51480,0.75690,0.85960,1.00000,0.84570,0.67970,0.69710,0.58430,0.47720,0.52010,0.42410,0.15920,0.16680,0.05880,0.39670,0.71470,0.73190,0.35090,0.05890,0.26900,0.42000,0.38740,0.24400,0.20000,0.23070,0.18860,0.19600,0.17010,0.13660,0.03980,0.01430,0.00930,0.00330,0.01130,0.00300,0.00570,0.00900,0.00570,0.00680,0.00240,Rock
85,0.03780,0.03180,0.04230,0.03500,0.17870,0.16350,0.08870,0.08170,0.17790,0.20530,0.31350,0.31180,0.36860,0.38850,0.58500,0.78680,0.97390,1.00000,0.98430,0.86100,0.84430,0.90610,0.58470,0.40330,0.59460,0.67930,0.63890,0.50020,0.55780,0.48310,0.47290,0.33180,0.39690,0.38940,0.23140,0.10360,0.13120,0.08640,0.25690,0.31790,0.26490,0.27140,0.17130,0.05840,0.12300,0.22000,0.21980,0.10740,0.04230,0.01620,0.00930,0.00460,0.00440,0.00780,0.01020,0.00650,0.00610,0.00620,0.00430,0.00530,Rock
175,0.01910,0.01730,0.02910,0.03010,0.04630,0.06900,0.05760,0.11030,0.24230,0.31340,0.47860,0.52390,0.43930,0.34400,0.28690,0.38890,0.44200,0.38920,0.40880,0.50060,0.72710,0.93850,1.00000,0.98310,0.99320,0.91610,0.82370,0.69570,0.45360,0.32810,0.25220,0.39640,0.41540,0.33080,0.14450,0.19230,0.32080,0.33670,0.56830,0.55050,0.32310,0.04480,0.31310,0.33870,0.41300,0.36390,0.20690,0.08590,0.06000,0.02670,0.01250,0.00400,0.01360,0.01370,0.01720,0.01320,0.01100,0.01220,0.01140,0.00680,Mine
146,0.07210,0.15740,0.11120,0.10850,0.06660,0.18000,0.11080,0.27940,0.14080,0.07950,0.25340,0.39200,0.33750,0.16100,0.18890,0.33080,0.22820,0.21770,0.18530,0.51670,0.53420,0.62980,0.84370,0.67560,0.58250,0.61410,0.88090,0.83750,0.38690,0.50510,0.54550,0.42410,0.15340,0.49500,0.69830,0.71090,0.56470,0.48700,0.55150,0.44330,0.52500,0.60750,0.52510,0.13590,0.42680,0.44420,0.21930,0.09000,0.12000,0.06280,0.02340,0.03090,0.01270,0.00820,0.02810,0.01170,0.00920,0.01470,0.01570,0.01290,Mine
56,0.02010,0.01160,0.01230,0.02450,0.05470,0.02080,0.08910,0.08360,0.13350,0.11990,0.17420,0.13870,0.20420,0.25800,0.26160,0.20970,0.25320,0.32130,0.43270,0.47600,0.53280,0.60570,0.66960,0.74760,0.89300,0.94050,1.00000,0.97850,0.84730,0.76390,0.67010,0.49890,0.37180,0.21960,0.14160,0.26800,0.26300,0.31040,0.33920,0.21230,0.11700,0.26550,0.22030,0.15410,0.14640,0.10440,0.12250,0.07450,0.04900,0.02240,0.00320,0.00760,0.00450,0.00560,0.00750,0.00370,0.00450,0.00290,0.00080,0.00180,Rock
11,0.00390,0.00630,0.01520,0.03360,0.03100,0.02840,0.03960,0.02720,0.03230,0.04520,0.04920,0.09960,0.14240,0.11940,0.06280,0.09070,0.11770,0.14290,0.12230,0.11040,0.18470,0.37150,0.43820,0.57070,0.66540,0.74760,0.76540,0.85550,0.97200,0.92210,0.75020,0.72090,0.77570,0.60550,0.50210,0.44990,0.39470,0.42810,0.44270,0.37490,0.19720,0.05110,0.07930,0.12690,0.15330,0.06900,0.04020,0.05340,0.02280,0.00730,0.00620,0.00620,0.01200,0.00520,0.00560,0.00930,0.00420,0.00030,0.00530,0.00360,Rock
107,0.03310,0.04230,0.04740,0.08180,0.08350,0.07560,0.03740,0.09610,0.05480,0.01930,0.08970,0.17340,0.19360,0.28030,0.33130,0.50200,0.63600,0.70960,0.83330,0.87300,0.80730,0.75070,0.75260,0.72980,0.61770,0.49460,0.45310,0.40990,0.45400,0.41240,0.31390,0.31940,0.36920,0.37760,0.44690,0.47770,0.47160,0.46640,0.38930,0.42550,0.40640,0.37120,0.38630,0.28020,0.12830,0.11170,0.13030,0.07870,0.04360,0.02240,0.01330,0.00780,0.01740,0.01760,0.00380,0.01290,0.00660,0.00440,0.01340,0.00920,Mine
192,0.03150,0.02520,0.01670,0.04790,0.09020,0.10570,0.10240,0.12090,0.12410,0.15330,0.21280,0.25360,0.26860,0.28030,0.18860,0.14850,0.21600,0.24170,0.29890,0.33410,0.37860,0.39560,0.52320,0.69130,0.78680,0.83370,0.91990,1.00000,0.89900,0.64560,0.59670,0.43550,0.29970,0.22940,0.18660,0.09220,0.18290,0.17430,0.24520,0.24070,0.25180,0.31840,0.16850,0.06750,0.11860,0.18330,0.18780,0.11140,0.03100,0.01430,0.01380,0.01080,0.00620,0.00440,0.00720,0.00070,0.00540,0.00350,0.00010,0.00550,Mine
135,0.10830,0.10700,0.02570,0.08370,0.07480,0.11250,0.33220,0.45900,0.55260,0.59660,0.53040,0.22510,0.24020,0.26890,0.66460,0.66320,0.16740,0.08370,0.43310,0.87180,0.79920,0.37120,0.17030,0.16110,0.20860,0.28470,0.22110,0.61340,0.58070,0.69250,0.38250,0.43030,0.77910,0.87030,1.00000,0.92120,0.93860,0.93030,0.73140,0.47910,0.20870,0.20160,0.16690,0.28720,0.43740,0.30970,0.15780,0.05530,0.03340,0.02090,0.01720,0.01800,0.01100,0.02340,0.02760,0.00320,0.00840,0.01220,0.00820,0.01430,Mine
171,0.01340,0.01720,0.01780,0.03630,0.04440,0.07440,0.08000,0.04560,0.03680,0.12500,0.24050,0.23250,0.25230,0.14720,0.06690,0.11000,0.23530,0.32820,0.44160,0.51670,0.65080,0.77930,0.79780,0.77860,0.85870,0.93210,0.94540,0.86450,0.72200,0.48500,0.13570,0.29510,0.47150,0.60360,0.80830,0.98700,0.88000,0.64110,0.42760,0.27020,0.26420,0.33420,0.43350,0.45420,0.39600,0.25250,0.10840,0.03720,0.02860,0.00990,0.00460,0.00940,0.00480,0.00470,0.00160,0.00080,0.00420,0.00240,0.00270,0.00410,Mine
116,0.04140,0.04360,0.04470,0.08440,0.04190,0.12150,0.20020,0.15160,0.08180,0.19750,0.23090,0.30250,0.39380,0.50500,0.58720,0.66100,0.74170,0.80060,0.84560,0.79390,0.88040,0.83840,0.78520,0.84790,0.74340,0.64330,0.55140,0.35190,0.31680,0.33460,0.20560,0.10320,0.31680,0.40400,0.42820,0.45380,0.37040,0.37410,0.38390,0.34940,0.43800,0.42650,0.28540,0.28080,0.23950,0.03690,0.08050,0.05410,0.01770,0.00650,0.02220,0.00450,0.01360,0.01130,0.00530,0.01650,0.01410,0.00770,0.02460,0.01980,Mine
51,0.03530,0.07130,0.03260,0.02720,0.03700,0.07920,0.10830,0.06870,0.02980,0.08800,0.10780,0.09790,0.22500,0.28190,0.20990,0.12400,0.16990,0.09390,0.10910,0.14100,0.12680,0.31510,0.14300,0.22640,0.57560,0.78760,0.71580,0.59980,0.55830,0.62950,0.76590,0.89400,0.84360,0.68070,0.83800,1.00000,0.94970,0.78660,0.56470,0.34800,0.25850,0.23040,0.29480,0.33630,0.30170,0.21930,0.13160,0.10780,0.05590,0.00350,0.00980,0.01630,0.02420,0.00430,0.02020,0.01080,0.00370,0.00960,0.00930,0.00530,Rock
148,0.06540,0.06490,0.07370,0.11320,0.24820,0.12570,0.17970,0.09890,0.24600,0.34220,0.21280,0.13770,0.40320,0.56840,0.23980,0.43310,0.59540,0.57720,0.81760,0.88350,0.52480,0.63730,0.83750,0.66990,0.77560,0.87500,0.83000,0.68960,0.33720,0.64050,0.71380,0.82020,0.66570,0.52540,0.29600,0.07040,0.09700,0.39410,0.60280,0.35210,0.39240,0.48080,0.46020,0.41640,0.54380,0.56490,0.31950,0.24840,0.12990,0.08250,0.02430,0.02100,0.03610,0.02390,0.04470,0.03940,0.03550,0.04400,0.02430,0.00980,Mine
138,0.04300,0.09020,0.08330,0.08130,0.01650,0.02770,0.05690,0.20570,0.38870,0.71060,0.73420,0.50330,0.30000,0.19510,0.27670,0.37370,0.25070,0.25070,0.32920,0.48710,0.65270,0.84540,0.97390,1.00000,0.66650,0.53230,0.40240,0.34440,0.42390,0.41820,0.43930,0.11620,0.43360,0.65530,0.61720,0.43730,0.41180,0.36410,0.45720,0.43670,0.29640,0.43120,0.41550,0.18240,0.14870,0.01380,0.11640,0.20520,0.10690,0.01990,0.02080,0.01760,0.01970,0.02100,0.01410,0.00490,0.00270,0.01620,0.00590,0.00210,Mine
18,0.01920,0.06070,0.03780,0.07740,0.13880,0.08090,0.05680,0.02190,0.10370,0.11860,0.12370,0.16010,0.35200,0.44790,0.37690,0.57610,0.64260,0.67900,0.71570,0.54660,0.53990,0.63620,0.78490,0.77560,0.57800,0.48620,0.41810,0.24570,0.07160,0.06130,0.18160,0.44930,0.59760,0.37850,0.24950,0.57710,0.88520,0.84090,0.35700,0.31330,0.60960,0.63780,0.27090,0.14190,0.12600,0.12880,0.07900,0.08290,0.05200,0.02160,0.03600,0.03310,0.01310,0.01200,0.01080,0.00240,0.00450,0.00370,0.01120,0.00750,Rock
103,0.05870,0.12100,0.12680,0.14980,0.14360,0.05610,0.08320,0.06720,0.13720,0.23520,0.32080,0.42570,0.52010,0.49140,0.59500,0.72210,0.90390,0.91110,0.87230,0.76860,0.73260,0.52220,0.30970,0.31720,0.22700,0.16400,0.17460,0.18350,0.20480,0.16740,0.27670,0.31040,0.33990,0.44410,0.50460,0.28140,0.16810,0.26330,0.31980,0.19330,0.09340,0.04430,0.07800,0.07220,0.04050,0.05530,0.10810,0.11390,0.07670,0.02650,0.02150,0.03310,0.01110,0.00880,0.01580,0.01220,0.00380,0.01010,0.02280,0.01240,Mine
53,0.00870,0.00460,0.00810,0.02300,0.05860,0.06820,0.09930,0.07170,0.05760,0.08180,0.13150,0.18620,0.27890,0.25790,0.22400,0.25680,0.29330,0.29910,0.39240,0.46910,0.56650,0.64640,0.67740,0.75770,0.88560,0.94190,1.00000,0.85640,0.67900,0.55870,0.41470,0.29460,0.20250,0.06880,0.11710,0.21570,0.22160,0.27760,0.23090,0.14440,0.15130,0.17450,0.17560,0.14240,0.09080,0.01380,0.04690,0.04800,0.01590,0.00450,0.00150,0.00520,0.00380,0.00790,0.01140,0.00500,0.00300,0.00640,0.00580,0.00300,Rock
86,0.03650,0.16320,0.16360,0.14210,0.11300,0.13060,0.21120,0.22680,0.29920,0.37350,0.30420,0.03870,0.26790,0.53970,0.62040,0.72570,0.83500,0.68880,0.44500,0.39210,0.56050,0.75450,0.83110,1.00000,0.87620,0.70920,0.70090,0.50140,0.39420,0.44560,0.40720,0.07730,0.14230,0.04010,0.35970,0.68470,0.70760,0.35970,0.06120,0.30270,0.39660,0.38680,0.23800,0.20590,0.22880,0.17040,0.15870,0.17920,0.10220,0.01510,0.02230,0.01100,0.00710,0.02050,0.01640,0.00630,0.00780,0.00940,0.01100,0.00680,Rock
16,0.02980,0.06150,0.06500,0.09210,0.16150,0.22940,0.21760,0.20330,0.14590,0.08520,0.24760,0.36450,0.27770,0.28260,0.32370,0.43350,0.56380,0.45550,0.43480,0.64330,0.39320,0.19890,0.35400,0.91650,0.93710,0.46200,0.27710,0.66130,0.80280,0.42000,0.51920,0.69620,0.57920,0.88890,0.78630,0.71330,0.76150,0.44010,0.30090,0.31630,0.28090,0.28980,0.05260,0.18670,0.15530,0.16330,0.12520,0.07480,0.04520,0.00640,0.01540,0.00310,0.01530,0.00710,0.02120,0.00760,0.01520,0.00490,0.02000,0.00730,Rock
131,0.04430,0.04460,0.02350,0.10080,0.22520,0.26110,0.20610,0.16680,0.18010,0.30830,0.37940,0.53640,0.61730,0.78420,0.83920,0.90160,1.00000,0.89110,0.87530,0.78860,0.71560,0.75810,0.63720,0.32100,0.20760,0.22790,0.33090,0.28470,0.19490,0.16710,0.10250,0.13620,0.22120,0.11240,0.16770,0.10390,0.25620,0.26240,0.22360,0.11800,0.11030,0.28310,0.23850,0.02550,0.19670,0.14830,0.04340,0.06270,0.05130,0.04730,0.02480,0.02740,0.02050,0.01410,0.01850,0.00550,0.00450,0.01150,0.01520,0.01000,Mine
